Subject	MaskDur	Amplitude	Threshold_RelVel
1	0	4	0.986992632283159
1	0	6	0.69086894889388
1	0	8	0.592131303733174
1	0	10	0.505522947627779
1	0	12	0.492138849422956
1	0.013	4	0.548716353087431
1	0.013	6	0.557066791737406
1	0.013	8	0.542941272605962
1	0.013	10	0.474578285219224
1	0.013	12	0.468274957403172
1	0.05	4	0.493979704818812
1	0.05	6	0.473884000417963
1	0.05	8	0.491330246590571
1	0.05	10	0.492414712834279
1	0.05	12	0.503778841725668
1	0.2	4	0.457450690989979
1	0.2	6	0.467657092846159
1	0.2	8	0.441518260738454
1	0.2	10	0.49913487553938
1	0.2	12	0.40576279293571
2	0	4	1.09022199296693
2	0	6	0.787918954391609
2	0	8	0.652167411184566
2	0	10	0.574024721965744
2	0	12	0.488127149955176
2	0.013	4	0.561772351929745
2	0.013	6	0.536786905357752
2	0.013	8	0.561963596104622
2	0.013	10	0.523316321041154
2	0.013	12	0.498628682765815
2	0.05	4	0.519713962264696
2	0.05	6	0.592672792426671
2	0.05	8	0.528749268006068
2	0.05	10	0.553190188602592
2	0.05	12	0.504222158659096
2	0.2	4	0.529438185728486
2	0.2	6	0.473306562411889
2	0.2	8	0.527708979086232
2	0.2	10	0.500250658596636
2	0.2	12	0.514139198697087
3	0	4	1.08291403965525
3	0	6	0.85767580149518
3	0	8	0.659713131214222
3	0	10	0.56833285304264
3	0	12	0.516213856994799
3	0.013	4	0.526619928324744
3	0.013	6	0.544980493029743
3	0.013	8	0.517601827342844
3	0.013	10	0.533665388185826
3	0.013	12	0.503648083693434
3	0.05	4	0.503271552632732
3	0.05	6	0.529799881038219
3	0.05	8	0.470695635481192
3	0.05	10	0.506368376293269
3	0.05	12	0.503844573805628
3	0.2	4	0.504466053034072
3	0.2	6	0.509681232279275
3	0.2	8	0.503754257254514
3	0.2	10	0.485372380390987
3	0.2	12	0.455548160224063
4	0	4	1.18533386404498
4	0	6	1.01979650464674
4	0	8	0.775344586918269
4	0	10	0.616540463878837
4	0	12	0.554935684375792
4	0.013	4	0.618621445162208
4	0.013	6	0.606807550374619
4	0.013	8	0.578987523995686
4	0.013	10	0.571426786011961
4	0.013	12	0.502099389009891
4	0.05	4	0.558939844295193
4	0.05	6	0.557018660610582
4	0.05	8	0.515693429018478
4	0.05	10	0.543622141999983
4	0.05	12	0.50413111253309
4	0.2	4	0.546026561758817
4	0.2	6	0.523742411242169
4	0.2	8	0.549644075010002
4	0.2	10	0.539407623713631
4	0.2	12	0.489131450050882
5	0	4	1.23475659288931
5	0	6	0.783937463443559
5	0	8	0.667074095971257
5	0	10	0.537053170804163
5	0	12	0.484901573306191
5	0.013	4	0.558657798368525
5	0.013	6	0.536756756787452
5	0.013	8	0.563862561733852
5	0.013	10	0.538045698210027
5	0.013	12	0.493787892123451
5	0.05	4	0.52932727160166
5	0.05	6	0.490532469656602
5	0.05	8	0.500296298311533
5	0.05	10	0.490620696911842
5	0.05	12	0.504080811711773
5	0.2	4	0.48884605356122
5	0.2	6	0.509954221388708
5	0.2	8	0.45835814308202
5	0.2	10	0.542603621341565
5	0.2	12	0.460971067574625
6	0	4	1.0310736324652
6	0	6	0.772493263518199
6	0	8	0.607667107048383
6	0	10	0.535666279057492
6	0	12	0.502545078047688
6	0.013	4	0.546410896918261
6	0.013	6	0.525945637604285
6	0.013	8	0.484873201817106
6	0.013	10	0.490960783412042
6	0.013	12	0.46146148635034
6	0.05	4	0.520825845611972
6	0.05	6	0.498954075478209
6	0.05	8	0.501676601162514
6	0.05	10	0.49696026794497
6	0.05	12	0.503877603608512
